Name,Score
EOEZFU,36
RQSFQP,66
YMLTMF,40
YMDYFT,10
PBPDVX,100
HXLTWV,6
BTGTXB,89
JODRBV,17
VGUHLY,66
ZUWWNH,50
DLHQFF,99
VCEBCV,59
UGORUS,13
KCIRYC,99
NSHJEF,20
RXLEHA,43
BXMJLI,19
IERLUB,89
SMYTID,6
OQAMPY,98
EBOZPX,12
DUEAEX,91
MAYXPF,98
ZCYBBL,1
GTKUTY,100
HHDJKU,62
GJJOXI,21
QYRQYC,50
NDNXMI,1
SBGZCW,35
TOYFIK,72
FHSIGE,27
FDSTTZ,79
RGPNMD,75
RJFLWL,26
GIOALT,12
JDCJQY,76
XEEOFQ,55
BEXMUI,61
SPHBFB,11
VXMXNR,12
VLOHTE,14
WKAIWR,23
HCQXWY,91
FTGYJY,84
GLRSXZ,79
FBYUZY,31
SDFFNC,54
YWSASF,31
HLPRAK,19
IFNGCB,45
FVXFCI,37
ZLGKRW,72
UTRTYD,32
VJQDHE,66
KWRATY,35
DHWLEJ,79
JCIHGN,20
DYPKIR,29
MFVXMW,80
MIPVKC,97
UTXSFC,18
VNPTYJ,49
ZOKCHC,88
GMVKOO,26
VZGQAR,19
JKTAQX,18
NGXUDO,80
FPZWNJ,50
XRPQMH,92
ZYWTKD,88
DBQMUO,23
HBCSDL,44
WIGYOO,43
VXLIDM,67
PLNUEM,18
WVTRPS,2
MDQIWQ,23
OKWOYQ,59
UFHIYL,30
FENGVB,51
FMRHOU,52
MYMKJW,30
SQQDPH,76
SAIEWU,21
GSLGXZ,96
DOSEKZ,58
KGXZVZ,3
TMVCFY,59
HUDCJT,54
SMKRTB,97
BAVKLY,95
QMRLSN,49
HGIJTC,94
CLSUYC,28
BYFOBJ,27
VZBBQT,19
UBSCKU,80
NCEXWH,32
VQLVUT,20
QWIPEE,47
FOFXRJ,43
QNQHGI,23
IWPCDQ,74
FVUZSH,100
AEHVVC,32
DMXMCJ,64
GUWBAF,81
TZKRJQ,29
OOQOIA,49
WXXEKK,63
TVRGYZ,15
JCSBYF,1
VYVUFR,66
PEZEIG,44
OJWGRQ,38
DDHCHS,14
CUMYXO,96
XGSVGP,69
DKBKOO,59
FWITHE,67
DASAJZ,33
ANVNEQ,19
BPTJLS,84
BFCBJI,57
XFYMLO,26
HMBPHY,56
NBVPQI,69
FKGZFJ,63
GHVUVH,44
ZHWNTV,41
YRLCUE,42
DZGKKB,70
UPYSQL,99
TPFPFZ,61
GZWDAS,82
RPZQOQ,34
DVFHOK,82
XBWEVH,0
OZIGVU,50
NHNMLQ,8
WFGAFC,23
STCCQR,47
RWVNRZ,85
MSBBPJ,9
MNBXEI,55
YTGIJQ,52
SJSJMX,74
ELFFZL,61
RZZHJM,72
SFDOGC,29
UWHHUM,81
VETWIL,42
BVMLGH,95
MRGBRA,87
PQKOPU,77
GWXHOM,8
SMSSUI,28
IAWXPG,3
GFHSDK,34
PSJJTW,99
RNSYWR,66
KXYBQR,21
ZDGYQN,80
ARFLEN,59
IQUKDI,28
MLBPLW,49
IIVOJL,93
UCSRKG,9
SWOFNK,0
ALWHDY,15
GGEZHT,88
VZYLGU,10
LTIMPO,71
RTUEGU,47
CLGXZX,36
DOHASZ,24
TVKHNK,89
BAJVML,12
OFMGKW,99
LYBBGD,59
MNIVAQ,31
YAKFAX,14
KXOOEJ,7
YHQGLQ,11
FVUMAB,25
QGFUML,35
GOOVMR,98
SWIVXJ,75
SAYPOG,11
NDHKPH,32
OXWHUM,27
UMTIKJ,81
MHZUIB,18
ZTPMPN,17
KVUGLU,62
DANYIP,61
MZMLFG,52
UXAMOK,59
MBKJJG,84
PMBQMZ,11
KURGTT,3
RZREYI,57
YWONEO,11
KLYNIA,31
PNVUWE,89
PLBNBI,40
WZBNZD,39
XYAKPQ,20
WQGZDL,82
SMVKPK,16
IOCJHI,40
IUSIIA,70
BQRHPX,38
MWEVYL,72
JSATXC,16
MUJNHP,23
LGTOJR,19
FEDOYS,30
CDSXAB,57
HZASNI,80
LAQKDD,9
KAGXNW,13
SYVXFO,0
QXGBMF,16
EZWWZZ,24
DTJJXL,79
XXTVVW,14
YQCJNJ,95
CEFIYA,83
ZBTTLP,25
OAJAJK,10
VFSXTB,44
BTOSVV,9
LXHVUG,77
MWLRMC,41
VJCHLM,90
VCRSKR,6
AAUJFG,53
CPTVCT,35
QSJGTQ,56
IWHQUJ,15
CSTICC,67
ZYJDTL,57
MILEDP,43
XECSDP,86
WCPQHK,0
PKPJMX,82
BEODWY,49
YMYBRY,99
KCQPBM,84
WSXYCI,21
AQIPMF,44
IXIKUX,31
GAMHSJ,1
CSTERY,23
AGNWYY,0
TDQKKH,44
LKDHYM,16
ROBDMP,67
QMMEAP,67
VDSNXD,83
DPTJIS,94
SWGFQQ,43
HMNXSQ,100
NGVVKB,100
IDQOGR,61
AKXFXO,9
UHSOWQ,21
ZRTROM,64
NRLRBL,86
GTUPWZ,39
TUAMBZ,19
TPQEGZ,0
JSJSNQ,93
COZIIW,54
TRUNIK,72
QROSAX,93
HPQXAP,46
QKVURH,94
IHULYK,88
EKQWXL,69
AJGIZL,20
EOLOPA,91
CXBCMV,11
GCZRAM,39
XIOBHX,36
LRWOSO,88
VBCLEC,86
YCAJRB,18
UDOLCL,23
QARNWB,21
CVFIXN,14
TGSABM,50
CGCWDI,85
THJWEE,23
NAUGBI,60
CBMUDH,10
OKZXNV,15
JAFLKE,87
XOIDOR,12
DSBIWA,52
PZALPA,19
RWDWYH,6
BMGHRE,94
YIOLJZ,4
SWOJBS,60
ZJOEYA,77
RRPMOW,61
IBVGBI,39
JRGTXJ,77
TCSJXI,97
KRDQUR,30
YWPZUS,33
HSKEDG,81
UQELGR,89
OLRZFI,87
GEOWFJ,33
SIPRRO,10
JPFRIF,49
YVZUTU,87
TBKXXV,34
NGFJJJ,77
PMGKQZ,31
JBPEOK,5
LYKKRE,21
BJBRSO,77
VFLBZC,67
JDGYTS,79
RKLTMM,83
DZFZJY,18
WDDGQX,34
